request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_46,28755.39,not_affordable,not_recommended,none,2025-01-14,none,Current balance 202335.0. Safe to pay 28755.39. Recommended not_recommended.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Current balance 112924150.0. Safe to pay 38114000.0. Recommended full_payment.
request_48,22152.51,not_affordable,not_recommended,none,,none,Current balance 188065.0. Safe to pay 22152.51. Recommended not_recommended.
request_49,0.0,not_affordable,not_recommended,none,,none,Current balance 40504493.34. Safe to pay 0.0. Recommended not_recommended.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Current balance 247325.5. Safe to pay 43900.0. Recommended full_payment.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Current balance 35347700.0. Safe to pay 2191000.0. Recommended full_payment.
request_52,23176.01,affordable_later,wait,2024-06-14:28870,2024-06-14,none,Current balance 75320.0. Safe to pay 23176.01. Recommended wait.
request_53,408.87,affordable_with_plan,installments,2025-11-07:124.61|2025-12-07:124.61|2026-01-06:124.61|2026-02-05:124.61|2026-03-07:124.61|2026-04-06:124.61|2026-05-06:124.61|2026-06-05:124.61|2026-07-05:124.61|2026-08-04:124.61|2026-09-03:124.61|2026-10-03:124.61|2026-11-02:124.61|2026-12-02:124.61|2027-01-01:124.61,,none,Current balance 3523.42. Safe to pay 408.87. Recommended installments.
request_54,3330.9,not_affordable,not_recommended,none,,none,Current balance 53581.4. Safe to pay 3330.9. Recommended not_recommended.
request_55,116016.56,affordable_with_plan,installments,2026-06-15:12283.24|2026-07-13:12283.24|2026-08-10:12283.24|2026-09-07:12283.24|2026-10-05:12283.24|2026-11-02:12283.24|2026-11-30:12283.24|2026-12-28:12283.24|2027-01-25:12283.24|2027-02-22:12283.24|2027-03-22:12283.24|2027-04-19:12283.24|2027-05-17:12283.24|2027-06-14:12283.24|2027-07-12:12283.24|2027-08-09:12283.24|2027-09-06:12283.24|2027-10-04:12283.24|2027-11-01:12283.24|2027-11-29:12283.24|2027-12-27:12283.24,,none,Current balance 314341.19. Safe to pay 116016.56. Recommended installments.
request_56,395.4,affordable_with_plan,partial_payment,2025-02-03:395.4|2025-02-14:486.16,2025-02-14,none,Current balance 3432.36. Safe to pay 395.4. Recommended partial_payment.
request_57,6738.39,not_affordable,not_recommended,none,,none,Current balance 63914.6. Safe to pay 6738.39. Recommended not_recommended.
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Current balance 42146065.0. Safe to pay 16226000.0. Recommended full_payment.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Current balance 723245.99. Safe to pay 140600.0. Recommended installments.
request_60,0.0,not_affordable,not_recommended,none,,none,Current balance 683.69. Safe to pay 0.0. Recommended not_recommended.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Current balance 147470.23. Safe to pay 29062.0. Recommended installments.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Current balance 5151.44. Safe to pay 404.23. Recommended full_payment.
request_63,33311.31,affordable_with_plan,partial_payment,2026-07-07:33311.31|2026-09-13:310588.69,2026-09-13,none,Current balance 251795.0. Safe to pay 33311.31. Recommended partial_payment.
request_64,34109.02,affordable_with_plan,installments,2024-06-18:3579.33|2024-07-16:3579.33|2024-08-13:3579.33|2024-09-10:3579.33|2024-10-08:3579.33|2024-11-05:3579.33|2024-12-03:3579.33|2024-12-31:3579.33|2025-01-28:3579.33|2025-02-25:3579.33|2025-03-25:3579.33|2025-04-22:3579.33|2025-05-20:3579.33|2025-06-17:3579.33|2025-07-15:3579.33|2025-08-12:3579.33|2025-09-09:3579.33|2025-10-07:3579.33|2025-11-04:3579.33|2025-12-02:3579.33|2025-12-30:3579.33,,none,Current balance 98573.01. Safe to pay 34109.02. Recommended installments.
request_65,7543.14,not_affordable,not_recommended,none,,none,Current balance 28524.0. Safe to pay 7543.14. Recommended not_recommended.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Current balance 302520.0. Safe to pay 22200.0. Recommended full_payment.
request_67,338.65,affordable_later,wait,2024-10-14:2094,2024-10-14,none,Current balance 1992.54. Safe to pay 338.65. Recommended wait.
request_68,1418.41,affordable_with_plan,installments,2025-02-21:153.38|2025-03-23:153.38|2025-04-22:153.38|2025-05-22:153.38|2025-06-21:153.38|2025-07-21:153.38|2025-08-20:153.38|2025-09-19:153.38|2025-10-19:153.38|2025-11-18:153.38|2025-12-18:153.38|2026-01-17:153.38|2026-02-16:153.38|2026-03-18:153.38|2026-04-17:153.38,,none,Current balance 3657.83. Safe to pay 1418.41. Recommended installments.
request_69,333.33,affordable_with_plan,installments,2026-01-07:95.24|2026-02-04:95.24|2026-03-04:95.24|2026-04-01:95.24|2026-04-29:95.24|2026-05-27:95.24,,none,Current balance 1639.5. Safe to pay 333.33. Recommended installments.
request_70,42586.71,affordable_with_plan,installments,2024-12-09:13704.86|2025-01-06:13704.86|2025-02-03:13704.86|2025-03-03:13704.86|2025-03-31:13704.86|2025-04-28:13704.86|2025-05-26:13704.86|2025-06-23:13704.86|2025-07-21:13704.86|2025-08-18:13704.86|2025-09-15:13704.86|2025-10-13:13704.86|2025-11-10:13704.86|2025-12-08:13704.86|2026-01-05:13704.86|2026-02-02:13704.86|2026-03-02:13704.86|2026-03-30:13704.86|2026-04-27:13704.86|2026-05-25:13704.86|2026-06-22:13704.86,,none,Current balance 208360.0. Safe to pay 42586.71. Recommended installments.
request_71,0.0,not_affordable,not_recommended,none,,none,Current balance 16369850.0. Safe to pay 0.0. Recommended not_recommended.
request_72,5651.57,not_affordable,not_recommended,none,,none,Current balance 30337.13. Safe to pay 5651.57. Recommended not_recommended.
request_73,53222.5,affordable_with_plan,installments,2023-01-23:12852|2023-02-22:12852|2023-03-24:12852|2023-04-23:12852|2023-05-23:12852|2023-06-22:12852,,none,Current balance 278542.5. Safe to pay 53222.5. Recommended installments.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Current balance 70056.9. Safe to pay 5010.0. Recommended full_payment.
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Current balance 145867.87. Safe to pay 28270.0. Recommended installments.
request_76,900.43,not_affordable,not_recommended,none,2024-07-14,none,Current balance 3338.8. Safe to pay 900.43. Recommended not_recommended.
request_77,60347.07,affordable_later,wait,2025-11-14:60700,2025-11-14,none,Current balance 189860.5. Safe to pay 60347.07. Recommended wait.
request_78,24477.61,not_affordable,not_recommended,none,,none,Current balance 156676.0. Safe to pay 24477.61. Recommended not_recommended.
request_79,365.89,not_affordable,not_recommended,none,2024-11-13,none,Current balance 2104.08. Safe to pay 365.89. Recommended not_recommended.
request_80,124608.78,affordable_with_plan,installments,2025-02-20:15950|2025-03-22:15950|2025-04-21:15950|2025-05-21:15950|2025-06-20:15950|2025-07-20:15950|2025-08-19:15950|2025-09-18:15950|2025-10-18:15950|2025-11-17:15950|2025-12-17:15950|2026-01-16:15950|2026-02-15:15950|2026-03-17:15950|2026-04-16:15950,2025-02-22,none,Current balance 280125.0. Safe to pay 124608.78. Recommended installments.
request_81,1573.56,not_affordable,not_recommended,none,,none,Current balance 5028.25. Safe to pay 1573.56. Recommended not_recommended.
request_82,317.75,affordable_later,wait,2025-01-14:1405.2,2025-01-14,none,Current balance 2202.4. Safe to pay 317.75. Recommended wait.
request_83,5534.01,not_affordable,not_recommended,none,2025-06-14,none,Current balance 68930.0. Safe to pay 5534.01. Recommended not_recommended.
request_84,0.0,not_affordable,not_recommended,none,,none,Current balance 153945.0. Safe to pay 0.0. Recommended not_recommended.
request_85,0.0,not_affordable,not_recommended,none,,none,Current balance 8818420.0. Safe to pay 0.0. Recommended not_recommended.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Current balance 228639.5. Safe to pay 46300.0. Recommended full_payment.
request_87,15643.29,affordable_later,wait,2026-02-12:487900,2026-02-12,none,Current balance 278750.0. Safe to pay 15643.29. Recommended wait.
request_88,9731.73,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-14,none,Current balance 41357.89. Safe to pay 9731.73. Recommended installments.
request_89,6568413.12,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-14,none,Current balance 27331862.01. Safe to pay 6568413.12. Recommended installments.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Current balance 31629.5. Safe to pay 2560.0. Recommended full_payment.
request_91,0.0,not_affordable,not_recommended,none,,none,Current balance 4209.6. Safe to pay 0.0. Recommended not_recommended.
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Current balance 78664.47. Safe to pay 34034.0. Recommended full_payment.
request_93,1692.52,affordable_later,wait,2026-04-14:1729.2,2026-04-14,none,Current balance 3962.1. Safe to pay 1692.52. Recommended wait.
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Current balance 2663.6. Safe to pay 572.0. Recommended full_payment.
request_95,52548.84,not_affordable,not_recommended,none,,none,Current balance 283365.0. Safe to pay 52548.84. Recommended not_recommended.
request_96,58794.02,affordable_with_plan,installments,2026-01-17:5712.67|2026-02-17:5712.67|2026-03-20:5712.67|2026-04-20:5712.67|2026-05-21:5712.67|2026-06-21:5712.67|2026-07-22:5712.67|2026-08-22:5712.67|2026-09-22:5712.67|2026-10-23:5712.67|2026-11-23:5712.67|2026-12-24:5712.67|2027-01-24:5712.67|2027-02-24:5712.67|2027-03-27:5712.67|2027-04-27:5712.67|2027-05-28:5712.67|2027-06-28:5712.67,2026-02-13,none,Current balance 161635.49. Safe to pay 58794.02. Recommended installments.
request_97,0.0,not_affordable,not_recommended,none,,none,Current balance 38565.89. Safe to pay 0.0. Recommended not_recommended.
request_98,4989.14,not_affordable,not_recommended,none,,none,Current balance 47244.7. Safe to pay 4989.14. Recommended not_recommended.
request_99,16669.7,affordable_later,wait,2026-07-15:18062,2026-07-15,none,Current balance 86706.58. Safe to pay 16669.7. Recommended wait.
request_100,25517.87,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-14,none,Current balance 68363.53. Safe to pay 25517.87. Recommended installments.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Current balance 465868.5. Safe to pay 143500.0. Recommended full_payment.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Current balance 4643.74. Safe to pay 1716.0. Recommended installments.
request_103,21807.49,not_affordable,not_recommended,none,,none,Current balance 168749.0. Safe to pay 21807.49. Recommended not_recommended.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Current balance 64021.7. Safe to pay 17204.0. Recommended full_payment.
request_105,17712.55,affordable_with_plan,installments,2026-06-08:3388.33|2026-07-09:3388.33|2026-08-09:3388.33|2026-09-09:3388.33|2026-10-10:3388.33|2026-11-10:3388.33|2026-12-11:3388.33|2027-01-11:3388.33|2027-02-11:3388.33|2027-03-14:3388.33|2027-04-14:3388.33|2027-05-15:3388.33|2027-06-15:3388.33|2027-07-16:3388.33|2027-08-16:3388.33|2027-09-16:3388.33|2027-10-17:3388.33|2027-11-17:3388.33,,none,Current balance 147831.8. Safe to pay 17712.55. Recommended installments.
request_106,302.54,affordable_later,wait,2024-12-15:2207.7,2024-12-15,none,Current balance 2601.7. Safe to pay 302.54. Recommended wait.
request_107,0.0,not_affordable,not_recommended,none,,none,Current balance 5054.52. Safe to pay 0.0. Recommended not_recommended.
request_108,3749.0,affordable_later,wait,2026-08-22:55308,2026-08-22,none,Current balance 31936.4. Safe to pay 3749.0. Recommended wait.
request_109,350.93,affordable_with_plan,installments,2024-03-04:104.71|2024-04-01:104.71|2024-04-29:104.71|2024-05-27:104.71|2024-06-24:104.71|2024-07-22:104.71|2024-08-19:104.71|2024-09-16:104.71|2024-10-14:104.71|2024-11-11:104.71|2024-12-09:104.71|2025-01-06:104.71|2025-02-03:104.71|2025-03-03:104.71|2025-03-31:104.71|2025-04-28:104.71|2025-05-26:104.71|2025-06-23:104.71|2025-07-21:104.71|2025-08-18:104.71|2025-09-15:104.71,2024-04-14,none,Current balance 2976.46. Safe to pay 350.93. Recommended installments.
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Current balance 61229.53. Safe to pay 22352.0. Recommended installments.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Current balance 85204860.0. Safe to pay 16625000.0. Recommended full_payment.
request_112,157.89,not_affordable,not_recommended,none,,none,Current balance 1026.0. Safe to pay 157.89. Recommended not_recommended.
request_113,0.0,not_affordable,not_recommended,none,,none,Current balance 141890.0. Safe to pay 0.0. Recommended not_recommended.
request_114,0.0,not_affordable,not_recommended,none,,none,Current balance 219230.0. Safe to pay 0.0. Recommended not_recommended.
request_115,16371.71,affordable_later,wait,2024-11-13:80500,2024-11-13,none,Current balance 65935.0. Safe to pay 16371.71. Recommended wait.
request_116,7673.82,not_affordable,not_recommended,none,2025-04-15,none,Current balance 138375.0. Safe to pay 7673.82. Recommended not_recommended.
request_117,867.81,affordable_later,wait,2026-07-15:880,2026-07-15,none,Current balance 2164.2. Safe to pay 867.81. Recommended wait.
request_118,635.08,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,Current balance 1538.51. Safe to pay 635.08. Recommended installments.
request_119,62084.34,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-05-15,none,Current balance 282101.01. Safe to pay 62084.34. Recommended installments.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Current balance 31748980.0. Safe to pay 7714000.0. Recommended full_payment.
request_121,588.25,affordable_later,wait,2024-04-14:633.6,2024-04-14,none,Current balance 1741.0. Safe to pay 588.25. Recommended wait.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Current balance 56827244.99. Safe to pay 20558000.0. Recommended installments.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Current balance 63706400.0. Safe to pay 4076000.0. Recommended full_payment.
request_124,1354.57,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-14,none,Current balance 3709.56. Safe to pay 1354.57. Recommended installments.
request_125,5028.76,not_affordable,not_recommended,none,,none,Current balance 22027.97. Safe to pay 5028.76. Recommended not_recommended.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Current balance 403175.0. Safe to pay 159600.0. Recommended full_payment.
request_127,14246.84,affordable_later,wait,2024-09-12:23980,2024-09-12,none,Current balance 66058.0. Safe to pay 14246.84. Recommended wait.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Current balance 80711.7. Safe to pay 25168.0. Recommended full_payment.
request_129,45.18,not_affordable,not_recommended,none,,none,Current balance 1088.0. Safe to pay 45.18. Recommended not_recommended.
request_130,6.31,not_affordable,not_recommended,none,,none,Current balance 2317.46. Safe to pay 6.31. Recommended not_recommended.
request_131,1408.22,affordable_with_plan,installments,2025-05-10:136.05|2025-06-09:136.05|2025-07-09:136.05|2025-08-08:136.05|2025-09-07:136.05|2025-10-07:136.05|2025-11-06:136.05|2025-12-06:136.05|2026-01-05:136.05|2026-02-04:136.05|2026-03-06:136.05|2026-04-05:136.05|2026-05-05:136.05|2026-06-04:136.05|2026-07-04:136.05,,none,Current balance 3387.16. Safe to pay 1408.22. Recommended installments.
request_132,0.0,not_affordable,not_recommended,none,,none,Current balance 1744.55. Safe to pay 0.0. Recommended not_recommended.
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,Current balance 36824650.0. Safe to pay 15770000.0. Recommended not_recommended.
request_134,4532218.03,affordable_later,wait,2025-09-13:21831000,2025-09-13,none,Current balance 28020700.0. Safe to pay 4532218.03. Recommended wait.
request_135,257.0,affordable_with_plan,installments,2026-07-20:54.86|2026-08-17:54.86|2026-09-14:54.86|2026-10-12:54.86|2026-11-09:54.86|2026-12-07:54.86,,none,Current balance 1041.1. Safe to pay 257.0. Recommended installments.
request_136,450.64,affordable_later,wait,2024-07-14:560.4,2024-07-14,none,Current balance 2291.68. Safe to pay 450.64. Recommended wait.
request_137,0.0,not_affordable,not_recommended,none,,none,Current balance 139760.0. Safe to pay 0.0. Recommended not_recommended.
request_138,741.83,affordable_with_plan,partial_payment,2026-04-07:741.83|2026-05-14:515.11,2026-05-14,none,Current balance 3644.65. Safe to pay 741.83. Recommended partial_payment.
request_139,1671.14,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-14,none,Current balance 3767.84. Safe to pay 1671.14. Recommended installments.
request_140,0.0,not_affordable,not_recommended,none,,none,Current balance 34679.0. Safe to pay 0.0. Recommended not_recommended.
request_141,11604.85,not_affordable,not_recommended,none,,none,Current balance 122545.0. Safe to pay 11604.85. Recommended not_recommended.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Current balance 5993.85. Safe to pay 1263.6. Recommended full_payment.
request_143,1584.67,not_affordable,not_recommended,none,,none,Current balance 20111.0. Safe to pay 1584.67. Recommended not_recommended.
request_144,0.0,not_affordable,not_recommended,none,,none,Current balance 1248.08. Safe to pay 0.0. Recommended not_recommended.
request_145,2621.19,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,Current balance 261013.66. Safe to pay 2621.19. Recommended installments.
request_146,425.94,not_affordable,not_recommended,none,,none,Current balance 190065.0. Safe to pay 425.94. Recommended not_recommended.
request_147,424.93,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-14,none,Current balance 1641.53. Safe to pay 424.93. Recommended installments.
request_148,6475.72,affordable_with_plan,installments,2024-06-21:1249.79|2024-07-19:1249.79|2024-08-16:1249.79|2024-09-13:1249.79|2024-10-11:1249.79|2024-11-08:1249.79|2024-12-06:1249.79|2025-01-03:1249.79|2025-01-31:1249.79|2025-02-28:1249.79|2025-03-28:1249.79|2025-04-25:1249.79|2025-05-23:1249.79|2025-06-20:1249.79|2025-07-18:1249.79|2025-08-15:1249.79|2025-09-12:1249.79|2025-10-10:1249.79|2025-11-07:1249.79|2025-12-05:1249.79|2026-01-02:1249.79,,none,Current balance 33181.08. Safe to pay 6475.72. Recommended installments.
request_149,16510.77,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-14,none,Current balance 84358.38. Safe to pay 16510.77. Recommended installments.
request_150,0.0,not_affordable,not_recommended,none,,none,Current balance 1257.44. Safe to pay 0.0. Recommended not_recommended.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Current balance 83998265.0. Safe to pay 26999000.0. Recommended full_payment.
request_152,6677.52,affordable_with_plan,installments,2025-02-19:1018.01|2025-03-21:1018.01|2025-04-20:1018.01|2025-05-20:1018.01|2025-06-19:1018.01|2025-07-19:1018.01|2025-08-18:1018.01|2025-09-17:1018.01|2025-10-17:1018.01|2025-11-16:1018.01|2025-12-16:1018.01|2026-01-15:1018.01|2026-02-14:1018.01|2026-03-16:1018.01|2026-04-15:1018.01,,none,Current balance 28368.77. Safe to pay 6677.52. Recommended installments.
request_153,0.0,not_affordable,not_recommended,none,,none,Current balance 1903.6. Safe to pay 0.0. Recommended not_recommended.
request_154,1625.8,affordable_with_plan,installments,2024-12-07:91.35|2025-01-04:91.35|2025-02-01:91.35|2025-03-01:91.35|2025-03-29:91.35|2025-04-26:91.35|2025-05-24:91.35|2025-06-21:91.35|2025-07-19:91.35|2025-08-16:91.35|2025-09-13:91.35|2025-10-11:91.35|2025-11-08:91.35|2025-12-06:91.35|2026-01-03:91.35|2026-01-31:91.35|2026-02-28:91.35|2026-03-28:91.35|2026-04-25:91.35|2026-05-23:91.35|2026-06-20:91.35,2024-12-04,none,Current balance 4679.4. Safe to pay 1625.8. Recommended installments.
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Current balance 218050.0. Safe to pay 112500.0. Recommended full_payment.
request_156,5322.22,affordable_with_plan,installments,2026-04-17:2728.15|2026-05-18:2728.15|2026-06-18:2728.15|2026-07-19:2728.15|2026-08-19:2728.15|2026-09-19:2728.15|2026-10-20:2728.15|2026-11-20:2728.15|2026-12-21:2728.15|2027-01-21:2728.15|2027-02-21:2728.15|2027-03-24:2728.15|2027-04-24:2728.15|2027-05-25:2728.15|2027-06-25:2728.15|2027-07-26:2728.15|2027-08-26:2728.15|2027-09-26:2728.15,,none,Current balance 42105.3. Safe to pay 5322.22. Recommended installments.
request_157,5023428.2,not_affordable,not_recommended,none,,none,Current balance 25805950.0. Safe to pay 5023428.2. Recommended not_recommended.
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Current balance 745417.1. Safe to pay 242600.0. Recommended installments.
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Current balance 40283.2. Safe to pay 13398.0. Recommended full_payment.
request_160,647.31,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-14,none,Current balance 2144.61. Safe to pay 647.31. Recommended installments.
request_161,0.0,not_affordable,not_recommended,none,,none,Current balance 41308350.0. Safe to pay 0.0. Recommended not_recommended.
request_162,2220664.51,not_affordable,not_recommended,none,,none,Current balance 34607300.0. Safe to pay 2220664.51. Recommended not_recommended.
request_163,10602308.4,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-14,none,Current balance 49519524.26. Safe to pay 10602308.4. Recommended installments.
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Current balance 75429169.2. Safe to pay 27018000.0. Recommended installments.
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Current balance 366705.0. Safe to pay 80600.0. Recommended full_payment.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Current balance 9001.95. Safe to pay 2907.6. Recommended installments.
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Current balance 105090.3. Safe to pay 43802.0. Recommended full_payment.
request_168,0.0,not_affordable,not_recommended,none,,none,Current balance 173843.0. Safe to pay 0.0. Recommended not_recommended.
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Current balance 77544.5. Safe to pay 41976.0. Recommended full_payment.
request_170,19496368.16,affordable_with_plan,installments,2025-08-09:2708640|2025-09-08:2708640|2025-10-08:2708640|2025-11-07:2708640|2025-12-07:2708640|2026-01-06:2708640|2026-02-05:2708640|2026-03-07:2708640|2026-04-06:2708640|2026-05-06:2708640|2026-06-05:2708640|2026-07-05:2708640|2026-08-04:2708640|2026-09-03:2708640|2026-10-03:2708640,,none,Current balance 69446998.4. Safe to pay 19496368.16. Recommended installments.
request_171,1.45,not_affordable,not_recommended,none,,none,Current balance 810.65. Safe to pay 1.45. Recommended not_recommended.
request_172,5691.05,not_affordable,not_recommended,none,,none,Current balance 50942.4. Safe to pay 5691.05. Recommended not_recommended.
request_173,16881.65,not_affordable,not_recommended,none,,none,Current balance 162290.53. Safe to pay 16881.65. Recommended not_recommended.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Current balance 3266.04. Safe to pay 1146.2. Recommended installments.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Current balance 4760.25. Safe to pay 2346.3. Recommended full_payment.
request_176,330.88,affordable_later,wait,2025-03-16:1239.7,2025-03-16,none,Current balance 1286.95. Safe to pay 330.88. Recommended wait.
request_177,0.0,not_affordable,not_recommended,none,,none,Current balance 2987.24. Safe to pay 0.0. Recommended not_recommended.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Current balance 7959.3. Safe to pay 2938.1. Recommended installments.
request_179,5947254.67,not_affordable,not_recommended,none,,none,Current balance 79388050.0. Safe to pay 5947254.67. Recommended not_recommended.
